,river,season,plot,subplot,width_m,area_sampled_subplot_m2,area_plot_m2,volume_m3,temp_C,pH,conductivity,TDS,salinity,flow_m_sec,depth_m,student_1,student_2,date,code,fish_number,host_common_name,host_species,sex,length_mm,wet_weight_g,dry_weight_g,nematode_sp1,eocolis_sp,clinostomum_marginatum,eustronglyoides_sp,leptorhynchoides_larval,neoechinorhynchus_larval,proteocephalus,bothriocephalus,Spathebothriidea,plagioporus,intestine,strigeoidae_larval,alloglossidium,Isoglaridacris,pilum_adult,Fessesentis_adult,crepidostomum_isostomum,crepidostomum_cooperi,Caecincola,acanthocephalus_sp,neoechinorhynchus_cristatus,triganodistomum,echinorhynchus_adult,camallanus_adult,leptorhynchoids_adult,rhabdochona,p_minimum,jelly_metacercariae,uvulifer_ambloplitis,conective_tissue,Trematode_sp1,Philonema,tapeworm_sp2,pomporhynchus_adult,Spinitectus,Raphidascaris,phyllodistomum,neoechinorhynchus_cylindratus_ad,allocreadium_commune,red_intestinal_nematode,leech
1,Passaic,fall,1,1,5.6,112,712,34.72,8.1,7.55,347,246,175,14,0.31,chris_brianik,matt_brianik,10/31/16,P11-FF-1,848,FallFish,Semotilus corporalis,F,106.42,15.98,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Passaic,fall,1,1,5.6,112,712,34.72,8.1,7.55,347,246,175,14,0.31,chris_brianik,matt_brianik,10/31/16,P11-FF-2,849,FallFish,Semotilus corporalis,M,114.87,20.9,3.9449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Passaic,fall,1,1,5.6,112,712,34.72,8.1,7.55,347,246,175,14,0.31,chris_brianik,matt_brianik,10/31/16,P11-CS-1,850,common shiner,Luxilus cornutus,F,79.85,6.35,1.2271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Passaic,fall,1,1,5.6,112,712,34.72,8.1,7.55,347,246,175,14,0.31,chris_brianik,matt_brianik,10/31/16,P11-CS-2,851,Common shiner,Luxilus cornutus,F,76.45,5,0.9643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Passaic,fall,1,1,5.6,112,712,34.72,8.1,7.55,347,246,175,14,0.31,chris_brianik,matt_brianik,10/31/16,P11-CS-3,852,Common shiner,Luxilus cornutus,F,57.96,2.26,0.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Passaic,fall,1,1,5.6,112,712,34.72,8.1,7.55,347,246,175,14,0.31,chris_brianik,matt_brianik,10/31/16,P11-BG-1,853,bluegill,Lepomis macrochirus,M,46.88,2.09,0.4326,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Passaic,fall,1,2,6.2,124,712,26.04,7.9,7.62,350,248,177,6.9,0.21,chris_brianik,matt_brianik,10/31/16,P12-PD-1,854,longnose dace,Rhinichthys cataractae,J,55.17,2.09,0.3798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Passaic,fall,1,3,9.4,188,712,39.48,7.9,7.59,349,248,177,8.8,0.21,chris_brianik,matt_brianik,10/31/16,P13-ln-1,855,longnose dace,Rhinichthys cataractae,J,52.49,1.17,0.3243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Passaic,fall,1,3,9.4,188,712,39.48,7.9,7.59,349,248,177,8.8,0.21,chris_brianik,matt_brianik,10/31/16,P13-FF-1,856,FallFish,Semotilus corporalis,J,67.93,4.15,0.6905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Passaic,fall,1,3,9.4,188,712,39.48,7.9,7.59,349,248,177,8.8,0.21,chris_brianik,matt_brianik,10/31/16,P13-FF-2,857,FallFish,Semotilus corporalis,J,53.31,1.92,0.3509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Passaic,fall,1,3,9.4,188,712,39.48,7.9,7.59,349,248,177,8.8,0.21,chris_brianik,matt_brianik,10/31/16,P13-FF-3,858,FallFish,Semotilus corporalis,F,81.43,10.06,1.9318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Passaic,fall,1,3,9.4,188,712,39.48,7.9,7.59,349,248,177,8.8,0.21,chris_brianik,matt_brianik,10/31/16,P13-FF-4,859,FallFish,Semotilus corporalis,J,84.2,8.52,1.5309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Passaic,fall,1,3,9.4,188,712,39.48,7.9,7.59,349,248,177,8.8,0.21,chris_brianik,matt_brianik,10/31/16,P13-FF-5,860,FallFish,Semotilus corporalis,J,59.19,2.52,0.4806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Passaic,fall,1,3,9.4,188,712,39.48,7.9,7.59,349,248,177,8.8,0.21,chris_brianik,matt_brianik,10/31/16,P13-BD-1,861,blacknose dace,Rhinichthys atratulus,F,48.78,1.88,0.2551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Passaic,fall,1,3,9.4,188,712,39.48,7.9,7.59,349,248,177,8.8,0.21,chris_brianik,matt_brianik,10/31/16,P13-BD-2,862,blacknose dace,Rhinichthys atratulus,M,51.32,1.42,0.2503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Passaic,fall,1,3,9.4,188,712,39.48,7.9,7.59,349,248,177,8.8,0.21,chris_brianik,matt_brianik,10/31/16,P13-BD-3,863,blacknose dace,Rhinichthys atratulus,F,48.09,1.61,0.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
